Temperature,Density,Error_Density,Viscosity,Error_Viscosity,VaporPressure,Error_VaporPressure,SurfaceTension,Error_SurfaceTension,ThermalConductivity,Error_ThermalConductivity
C,g/cm^3,g/cm^3,mm^2/s,mm^2/s,kPa,kPa,N/m,N/m,W/m/K,W/m/K
-40.0,,,8.706261480288568,5.393738519711432,,,,,,
-20.0,,,4.807289496514161,1.6927105034858387,,,,,,
-10.0,,,,,,,0.028784261047040637,0.00036283104704063623,,
0.0,0.8356858736347023,0.0030057933652977153,,,0.04985008076266544,0.0014997507626654458,,,,
20.0,0.8219669788909396,0.001966354109060431,,,0.16179638875944455,0.17665591824055546,0.026317105629007336,0.0005895946290073346,,
30.0,,,,,,,,,0.1095703946312613,0.008410374368738704
40.0,0.8079816159589717,0.0017683840410283036,1.4890334549970374,0.08096654500296263,0.4600255086687159,0.024872542668715913,0.024695408978026495,2.9530021973506182e-05,,
60.0,,,,,1.1687215396208384,0.13673735937916165,,,,
75.0,,,,,,,,,0.1022063027916717,0.006736005208328302
80.0,,,,,2.694465529208609,0.641707212791391,,,,
100.0,,,0.7437881790171854,0.016211820982814595,5.7083443848269795,0.6738991211730205,,,,
120.0,,,,,11.229706166647924,2.550137763352076,,,,
125.0,,,,,,,,,0.09416672047398948,0.00669866452601052
